                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3952,                 2.4569,                 1.4032,                0.77473,                0.48259,                0.70616,                0.44417,                 1.4032,                 2.8068,                  1.487,             0.00032975,             0.00032975,             0.00032975
                      2,                 1.2587,                 1.4207,                 1.3134,                0.75932,                 0.7417,                0.80277,                0.51796,                 1.3659,                 2.0368,                 1.4591,             0.00064995,             0.00064995,             0.00064995
                      3,                 1.2555,                 1.2962,                 1.3038,                0.79923,                0.76102,                 0.8146,                0.50909,                 1.4023,                 1.7844,                 1.4731,             0.00095696,             0.00095696,             0.00095696
                      4,                  1.225,                 1.2172,                 1.2739,                0.83567,                0.77531,                  0.839,                0.54803,                 1.3157,                 1.6103,                 1.4322,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.2117,                 1.1554,                 1.2761,                0.80754,                0.77775,                0.82193,                0.51971,                 1.4204,                 1.7903,                 1.5366,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.1975,                  1.108,                 1.2771,                0.82872,                0.76004,                0.83044,                0.54288,                 1.3542,                 1.5761,                 1.4357,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.1697,                 1.0427,                 1.2564,                0.78948,                0.81258,                0.84344,                0.55023,                 1.3431,                 1.5365,                 1.4652,               0.000901,               0.000901,               0.000901
                      8,                 1.1607,                0.99212,                 1.2547,                0.79635,                0.83198,                0.84959,                0.55377,                  1.344,                 1.3493,                 1.4333,              0.0008812,              0.0008812,              0.0008812
                      9,                  1.121,                0.96695,                 1.2357,                0.85399,                 0.7832,                0.84947,                0.55646,                 1.3296,                  1.327,                 1.4246,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.1137,                 0.9072,                 1.2163,                0.84971,                0.84106,                0.87722,                 0.5762,                 1.3273,                 1.1375,                 1.4184,              0.0008416,              0.0008416,              0.0008416
